,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Day,Total
Tahiti,191779.0,8160.0,198.0,932.0,182489.0,0.04254897564384005,0.0010324383795931775,0.004859760453438593,0.9515588255231282,157.0,191779.0
Tahiti,191779.0,8364.0,194.0,900.0,182321.0,0.043612700034936044,0.0010115810385912952,0.004692901725423535,0.9506828172010491,158.0,191779.0
Tahiti,191779.0,8607.0,184.0,876.0,182112.0,0.0448797835008004,0.0009594376860865893,0.00456775767941224,0.9495930211337008,159.0,191779.0
Tahiti,191779.0,8725.0,188.0,847.0,182019.0,0.04549507506035593,0.0009802950270884716,0.0044165419571485925,0.949108087955407,160.0,191779.0
Tahiti,191779.0,8880.0,175.0,842.0,181882.0,0.046303297024178874,0.0009125086688323539,0.00439047028089624,0.9483937240260926,161.0,191779.0
Tahiti,191779.0,9208.0,170.0,815.0,181586.0,0.04801359898633323,0.0008864369925800009,0.004249683229133534,0.9468502807919532,162.0,191779.0
Tahiti,191779.0,9250.0,169.0,772.0,181588.0,0.048232601066852995,0.0008812226573295303,0.004025466813363299,0.9468607094624542,163.0,191779.0
Tahiti,191779.0,9389.0,185.0,737.0,181468.0,0.0489573936666684,0.0009646520213370598,0.0038429650795968277,0.9462349892323977,164.0,191779.0
Tahiti,191779.0,9558.0,179.0,739.0,181303.0,0.049838616323997935,0.0009333660098342363,0.0038533937500977687,0.9453746239160701,165.0,191779.0
Tahiti,191779.0,9711.0,180.0,727.0,181161.0,0.05063640961731994,0.0009385803450847069,0.0037908217270921215,0.9446341883105033,166.0,191779.0
Tahiti,191779.0,9883.0,174.0,707.0,181015.0,0.05153327528040088,0.0009072943335818834,0.0036865350220827097,0.9438728953639345,167.0,191779.0
Tahiti,191779.0,10042.0,169.0,687.0,180881.0,0.0523623545852257,0.0008812226573295303,0.003582248317073298,0.9431741744403714,168.0,191779.0
Tahiti,191779.0,10189.0,161.0,676.0,180753.0,0.05312886186704488,0.0008395079753257655,0.003524890629318121,0.9425067395283112,169.0,191779.0
Tahiti,191779.0,10402.0,167.0,672.0,180538.0,0.05423951527539512,0.0008707939868285891,0.003504033288316239,0.94138565744946,170.0,191779.0
Tahiti,191779.0,10492.0,154.0,664.0,180469.0,0.05470880544793747,0.0008030076285724714,0.0034623186063124744,0.9410258683171776,171.0,191779.0
Tahiti,191779.0,10608.0,149.0,651.0,180371.0,0.055313668336992056,0.0007769359523201185,0.0033945322480563567,0.9405148634626315,172.0,191779.0
Tahiti,191779.0,10764.0,140.0,635.0,180240.0,0.05612710463606547,0.0007300069350658832,0.003311102884048827,0.9398317855448198,173.0,191779.0
Tahiti,191779.0,10962.0,147.0,605.0,180065.0,0.05715954301565865,0.0007665072818191773,0.003154672826534709,0.9389192768759874,174.0,191779.0
Tahiti,191779.0,11100.0,138.0,597.0,179944.0,0.05787912128022359,0.0007195782645649419,0.0031129581445309444,0.9382883423106805,175.0,191779.0
Tahiti,191779.0,11150.0,144.0,570.0,179915.0,0.05813983804274712,0.0007508642760677655,0.0029721710927682384,0.9381371265884169,176.0,191779.0
Tahiti,191779.0,11380.0,163.0,564.0,179672.0,0.059339135150355354,0.0008499366458267068,0.002940885081265415,0.9368700431225525,177.0,191779.0
Tahiti,191779.0,11538.0,162.0,561.0,179518.0,0.06016300011992971,0.0008447223105762362,0.0029252420755140032,0.9360670354939801,178.0,191779.0
Tahiti,191779.0,11723.0,153.0,559.0,179344.0,0.061127652141266774,0.0007977932933220009,0.0029148134050130618,0.9351597411603981,179.0,191779.0
Tahiti,191779.0,11879.0,152.0,562.0,179186.0,0.061941088440340186,0.0007925789580715303,0.0029304564107644738,0.9343358761908238,180.0,191779.0
Tahiti,191779.0,12130.0,148.0,576.0,178925.0,0.0632498865882083,0.0007717216170696478,0.003003457104271062,0.932974934690451,181.0,191779.0
Tahiti,191779.0,12267.0,152.0,562.0,178798.0,0.06396425051752277,0.0007925789580715303,0.0029304564107644738,0.9323127141136412,182.0,191779.0
Tahiti,191779.0,12535.0,148.0,557.0,178539.0,0.0653616923646489,0.0007717216170696478,0.0029043847345121207,0.9309622012837694,183.0,191779.0
Tahiti,191779.0,12615.0,139.0,547.0,178478.0,0.06577883918468654,0.0007247925998154125,0.002852241382007415,0.9306441268334906,184.0,191779.0
Tahiti,191779.0,12737.0,133.0,532.0,178377.0,0.06641498808524396,0.000693506588312589,0.002774026353250356,0.9301174789731931,185.0,191779.0
Tahiti,191779.0,12953.0,145.0,523.0,178158.0,0.0675412844993456,0.0007560786113182361,0.0027270973359961206,0.92897553955334,186.0,191779.0
Tahiti,191779.0,13045.0,137.0,515.0,178082.0,0.06802100334238889,0.0007143639293144714,0.002685382653992356,0.9285792500743043,187.0,191779.0
Tahiti,191779.0,13231.0,134.0,513.0,177901.0,0.06899086969897643,0.0006987209235630596,0.0026749539834914145,0.9276354553939691,188.0,191779.0
