,Population,S,E,I,R,S_ratio,E_ratio,I_ratio,R_ratio,Day,Total
Bora Bora,10758.0,1189.0,848.0,3262.0,5459.0,0.11052240193344488,0.07882506042015244,0.3032162111916713,0.5074363264547314,79.0,10758.0
Bora Bora,10758.0,1056.0,810.0,3191.0,5701.0,0.09815950920245399,0.07529280535415504,0.2966164714630972,0.5299312139802937,80.0,10758.0
Bora Bora,10758.0,960.0,736.0,3123.0,5939.0,0.08923591745677635,0.06841420338352854,0.29029559397657556,0.5520542851831195,81.0,10758.0
Bora Bora,10758.0,871.0,671.0,3024.0,6192.0,0.0809630042758877,0.06237218813905931,0.2810931399888455,0.5755716675962075,82.0,10758.0
Bora Bora,10758.0,807.0,606.0,2908.0,6437.0,0.07501394311210262,0.05633017289459007,0.27031046662948505,0.5983454173638223,83.0,10758.0
Bora Bora,10758.0,728.0,563.0,2822.0,6645.0,0.0676705707380554,0.052333147425171964,0.26231641569064884,0.6176798661461238,84.0,10758.0
Bora Bora,10758.0,688.0,498.0,2730.0,6842.0,0.06395240751068972,0.046291132180702736,0.25376464026770773,0.6359918200408998,85.0,10758.0
Bora Bora,10758.0,652.0,460.0,2620.0,7026.0,0.06060606060606061,0.042758877114705336,0.24353969139245213,0.6530953708867819,86.0,10758.0
Bora Bora,10758.0,582.0,432.0,2544.0,7200.0,0.054099274958170664,0.040156162855549356,0.23647518126045733,0.6692693809258227,87.0,10758.0
Bora Bora,10758.0,542.0,377.0,2452.0,7387.0,0.050381111730804985,0.03504368841792155,0.22792340583751627,0.6866517940137572,88.0,10758.0
Bora Bora,10758.0,489.0,340.0,2371.0,7558.0,0.045454545454545456,0.031604387432608294,0.22039412530210076,0.7025469418107455,89.0,10758.0
Bora Bora,10758.0,469.0,301.0,2247.0,7741.0,0.04359546384086262,0.02797917828592675,0.20886781929726714,0.7195575385759435,90.0,10758.0
Bora Bora,10758.0,427.0,262.0,2179.0,7890.0,0.039691392452128646,0.024353969139245212,0.20254694181074548,0.7334076965978806,91.0,10758.0
Bora Bora,10758.0,418.0,244.0,2064.0,8032.0,0.03885480572597137,0.022680795686930655,0.19185722253206916,0.7466071760550288,92.0,10758.0
Bora Bora,10758.0,390.0,216.0,1990.0,8162.0,0.03625209146681539,0.020078081427774678,0.18497862056144265,0.7586912065439673,93.0,10758.0
Bora Bora,10758.0,371.0,190.0,1871.0,8326.0,0.03448596393381669,0.017661275329986986,0.17391708496002975,0.7739356757761666,94.0,10758.0
Bora Bora,10758.0,357.0,183.0,1746.0,8472.0,0.03318460680423871,0.01701059676519799,0.162297824874512,0.7875069715560513,95.0,10758.0
Bora Bora,10758.0,331.0,162.0,1666.0,8599.0,0.030767800706451014,0.01505856107083101,0.15486149841978064,0.7993121398029374,96.0,10758.0
Bora Bora,10758.0,324.0,142.0,1581.0,8711.0,0.03011712214166202,0.013199479457148168,0.14696040156162857,0.8097229968395613,97.0,10758.0
Bora Bora,10758.0,310.0,130.0,1504.0,8814.0,0.028815765012084032,0.012084030488938465,0.1398029373489496,0.8192972671500279,98.0,10758.0
Bora Bora,10758.0,294.0,114.0,1421.0,8929.0,0.027328499721137756,0.010596765197992191,0.13208774865216583,0.8299869864287042,99.0,10758.0
